p_id	e_id	cell_line	modification	effect	time	comment	stimuli	controls
Insulin	GSE9105p	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230450	GSM230452
Insulin	GSE9105q	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230453	GSM230455
Insulin	GSE9105r	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230453	GSM230454
Insulin	GSE9105s	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230456	GSM230457
Insulin	GSE9105t	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230456	GSM230458
Insulin	GSE9105u	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230459	GSM230461
Insulin	GSE9105v	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230459	GSM230460
Insulin	GSE9105w	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230462	GSM230463
Insulin	GSE9105x	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230462	GSM230464
JAK-STAT	GSE10685	skeletal muscle biopsies	patients treated with IL-6 infusion	activation	3 h	3 donors	GSM269808,GSM269811,GSM269932	GSM269809,GSM269834,GSM269933
JAK-STAT	GSE12664	A549 cells	treated with IFNb	activation	6 h	3 replicates	GSM317891,GSM317903,GSM317915	GSM317927,GSM317928,GSM317929
JAK-STAT	GSE1432a	primary human microglial cells Y20	treated with IFN-gamma (respective time control)	activation	1 h		GSM26928	GSM23899
JAK-STAT	GSE1432b	primary human microglial cells B18	treated with IFN-gamma (respective time control)	activation	1 h		GSM26926	GSM23887
JAK-STAT	GSE1432c	primary human microglial cells W	treated with IFN-gamma (respective time control)	activation	1 h		GSM26927	GSM23895
JAK-STAT	GSE1432d	primary human microglial cells O	treated with IFN-gamma (respective time control)	activation	1 h		GSM26925	GSM23893
JAK-STAT	GSE14632a	HepG2 hepatocarcinoma cell line	treated with 20ng/ml IL-6	activation	1 h	2 replicates, part of time series, 4h serum starvation before treatment	GSM636652,GSM636653	GSM636654,GSM636655
JAK-STAT	GSE14632b	HepG2 hepatocarcinoma cell line	treated with 20ng/ml IL-6	activation	2 h	2 replicates, part of time series, 4h serum starvation before treatment	GSM636652,GSM636653	GSM636656,GSM636657
JAK-STAT	GSE14632c	HepG2 hepatocarcinoma cell line	treated with 20ng/ml IL-6	activation	4 h	2 replicates, part of time series, 4h serum starvation before treatment	GSM636652,GSM636653	GSM636658,GSM636659
JAK-STAT	GSE15743a	primary NK cells	treated with 1 ng/ml IFNa-2b	activation	6 h	1 replicate, 2 concentrations	GSM394093	GSM394094
JAK-STAT	GSE15743b	primary NK cells	treated with 100 ng/ml IFNa-2b	activation	6 h	1 replicate, 2 concentrations	GSM394093	GSM394095
JAK-STAT	GSE16251a	primary PBMCs	treated with IFNa	activation	4 h	1 replicate, time respective control, part of time	GSM409172	GSM409178
JAK-STAT	GSE16251b	primary PBMCs	treated with IFNa	activation	0.5 h	1 replicate, time respective control, part of time	GSM409180	GSM409181
JAK-STAT	GSE16251c	primary PBMCs	treated with IIL12	activation	0.5 h	1 replicate, time respective control, part of time	GSM409180	GSM409183
JAK-STAT	GSE16251d	primary PBMCs	treated with IIL12	activation	1 h	1 replicate, time respective control, part of time	GSM409182	GSM409157
JAK-STAT	GSE16251e	primary PBMCs	treated with IIL12	activation	4 h	1 replicate, time respective control, part of time	GSM409178	GSM409152
JAK-STAT	GSE16252a	primary PBMCs	treated with 0.6 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time and concentration series	GSM409200	GSM409188
JAK-STAT	GSE16252b	primary PBMCs	treated with 0.6 pM IFNg	activation	1 h	1 replicate, time respective control, part of time and concentration series	GSM409199	GSM409190
JAK-STAT	GSE16252c	primary PBMCs	treated with 0.6 pM IFNg	activation	2 h	1 replicate, time respective control, part of time and concentration series	GSM409194	GSM409187
JAK-STAT	GSE16252d	primary PBMCs	treated with 0.6 pM IFNg	activation	4 h	1 replicate, time respective control, part of time and concentration series	GSM409197	GSM409213
JAK-STAT	GSE16252e	primary PBMCs	treated with 60 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time and concentration series	GSM409200	GSM409211
JAK-STAT	GSE16252f	primary PBMCs	treated with 60 pM IFNg	activation	1 h	1 replicate, time respective control, part of time and concentration series	GSM409199	GSM409209
JAK-STAT	GSE16252g	primary PBMCs	treated with 60 pM IFNg	activation	2 h	1 replicate, time respective control, part of time and concentration series	GSM409194	GSM409212
JAK-STAT	GSE16252h	primary PBMCs	treated with 60 pM IFNg	activation	4 h	1 replicate, time respective control, part of time and concentration series	GSM409197	GSM409208
JAK-STAT	GSE16252i	primary PBMCs	treated with 0.006 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time and concentration series	GSM409200	GSM409193
JAK-STAT	GSE16252j	primary PBMCs	treated with 0.006 pM IFNg	activation	1 h	1 replicate, time respective control, part of time and concentration series	GSM409199	GSM409191
JAK-STAT	GSE16252k	primary PBMCs	treated with 0.006 pM IFNg	activation	2 h	1 replicate, time respective control, part of time and concentration series	GSM409194	GSM409201
JAK-STAT	GSE16252l	primary PBMCs	treated with 0.006 pM IFNg	activation	4 h	1 replicate, time respective control, part of time and concentration series	GSM409197	GSM409214
JAK-STAT	GSE16253a	primary monocytes	treated with 0.6 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time series, different cell lines	GSM409215	GSM409267
JAK-STAT	GSE16253b	primary monocytes	treated with 0.6 pM IFNg	activation	4 h	1 replicate, time respective control, part of time series, different cell lines	GSM409228	GSM409257
JAK-STAT	GSE16253c	primary monocytes	treated with 0.6 pM IFNg	activation	1 h	1 replicate, time respective control, part of time series, different cell lines	GSM409269	GSM409275
JAK-STAT	GSE16253d	primary B cells	treated with 0.6 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time series, different cell lines	GSM409250	GSM409219
JAK-STAT	GSE16253e	primary B cells	treated with 0.6 pM IFNg	activation	1 h	1 replicate, time respective control, part of time series, different cell lines	GSM409251	GSM409290
JAK-STAT	GSE16253f	primary B cells	treated with 0.6 pM IFNg	activation	4 h	1 replicate, time respective control, part of time series, different cell lines	GSM409234	GSM409279
JAK-STAT	GSE16253g	primary CD4+ T cells	treated with 0.6 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time series, different cell lines	GSM409237	GSM409276
JAK-STAT	GSE16253h	primary CD4+ T cells	treated with 0.6 pM IFNg	activation	1 h	1 replicate, time respective control, part of time series, different cell lines	GSM409261	GSM409264
JAK-STAT	GSE16253j	primary NK cells	treated with 0.6 pM IFNg	activation	4 h	1 replicate, time respective control, part of time series, different cell lines	GSM409218	GSM409271
JAK-STAT	GSE16253k	primary NK cells	treated with 0.6 pM IFNg	activation	1 h	1 replicate, time respective control, part of time series, different cell lines	GSM409223	GSM409273
JAK-STAT	GSE16253l	primary NK cells	treated with 0.6 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time series, different cell lines	GSM409235	GSM409274
JAK-STAT	GSE16253m	primary CD8+ T cells	treated with 0.6 pM IFNg	activation	0.5 h	1 replicate, time respective control, part of time series, different cell lines	GSM409241	GSM409281
JAK-STAT	GSE16253n	primary CD8+ T cells	treated with 0.6 pM IFNg	activation	1 h	1 replicate, time respective control, part of time series, different cell lines	GSM409256	GSM409243
JAK-STAT	GSE16253o	primary CD8+ T cells	treated with 0.6 pM IFNg	activation	4 h	1 replicate, time respective control, part of time series, different cell lines	GSM409249	GSM409282
JAK-STAT	GSE16385	primary macrophage	treated with IL-4	activation	4 h	1 replicate, respective time control	GSM411184	GSM411186
JAK-STAT	GSE16450a	immature BE(2)-C neuroblastoma cell line	treated with IFNa-A/D	activation	6 h	3 replicates	GSM413549,GSM413550,GSM413551	GSM413552,GSM413553,GSM413554
JAK-STAT	GSE16450b	mature BE(2)-C neuroblastoma cell line	treated with IFNa-A/D	activation	6 h	3 replicates	GSM413558,GSM413559,GSM413560	GSM413561,GSM413562,GSM413563
JAK-STAT	GSE16755	macrophages	treated with IFNa	activation	unknown	3 replicates	GSM419987,GSM419988,GSM419989	GSM419990,GSM419991,GSM419992
JAK-STAT	GSE19082a	HMEC (human microvascular endothelial cells)	treated with IFN-gamma 1 ng/ml (respective time control)	activation	3 h	4 replicates each two different treatments	GSM472434,GSM472438,GSM472442,GSM472446	GSM472436,GSM472440,GSM472444,GSM472448
JAK-STAT	GSE19082b	HMEC (human microvascular endothelial cells)	treated with IL-6 50 U/ml (respective time control)	activation	1 h	4 replicates each, two different treatments	GSM472434,GSM472438,GSM472442,GSM472446	GSM472435,GSM472439,GSM472443,GSM472447
JAK-STAT	GSE1925a	primary human CD14+ macrophages Pool1	treated with IFN-gamma	activation	3 h		GSM34595	GSM34596
JAK-STAT	GSE1925b	primary human CD14+ macrophages Pool2	treated with IFN-gamma	activation	3 h		GSM34601	GSM34602
JAK-STAT	GSE1925c	primary human CD14+ macrophages Pool3	treated with IFN-gamma	activation	3 h		GSM34607	GSM34608
JAK-STAT	GSE20198a	activated cord blood CD4+ T cells	treated with IFNa	activation	2 h	1 replicate, part of time series	GSM506700	GSM506701
JAK-STAT	GSE20198b	activated cord blood CD4+ T cells	treated with IFNa	activation	6 h	1 replicate, part of time series	GSM506702	GSM506703
JAK-STAT	GSE20272a	SKOV-3 ovarian cancer cell line	treated with IL-6	activation	1 h	1 replicate, 2 different cell lines	GSM508291	GSM508292
JAK-STAT	GSE20272b	Caov-3 ovarian cancer cell line	treated with IL-6	activation	1 h	1 replicate, 2 different cell lines	GSM508294	GSM508295
JAK-STAT	GSE21760a	HeLa cells	treated with IFNg	activation	2 h	1 replicate, part of time series	GSM542389	GSM542390
JAK-STAT	GSE21760b	HeLa cells	treated with IFNg	activation	4 h	1 replicate, part of time series	GSM542389	GSM542391
JAK-STAT	GSE21760c	HeLa cells	treated with IFNg	activation	6 h	1 replicate, part of time series	GSM542389	GSM542392
JAK-STAT	GSE22325a	HUVECs	treated with 100 U/ml IL-3	activation	4 h	1 replicate each, time resolved control	GSM555847	GSM555854
JAK-STAT	GSE22325b	HUVECs	treated with 100 U/ml IL-6	activation	4 h	1 replicate each, time resolved control	GSM555847	GSM555858
JAK-STAT	GSE23307a	primary B cells	treated with IFN-b	activation	3 h	1 replicate each, respective time control, 2 individuals	GSM571900	GSM571899
JAK-STAT	GSE23307b	primary B cells	treated with IFN-b	activation	3 h	1 replicate each, respective time control, 2 individuals	GSM571904	GSM571903
JAK-STAT	GSE23307c	primary monocytes	treated with IFN-b	activation	3 h	1 replicate each, respective time control, 2 individuals	GSM571902	GSM571901
JAK-STAT	GSE23591a	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	0.5 h	1 replicate, time resolved controls, part of time series	GSM578575	GSM578576
JAK-STAT	GSE23591b	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	1 h	1 replicate, time resolved controls, part of time series	GSM578577	GSM578578
JAK-STAT	GSE23591c	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	1.5 h	1 replicate, time resolved controls, part of time series	GSM578579	GSM578580
JAK-STAT	GSE23591d	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	2 h	1 replicate, time resolved controls, part of time series	GSM578581	GSM578582
JAK-STAT	GSE23591e	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	3 h	1 replicate, time resolved controls, part of time series	GSM578583	GSM578584
JAK-STAT	GSE23591f	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	4 h	1 replicate, time resolved controls, part of time series	GSM578585	GSM578586
JAK-STAT	GSE23591g	L1236 lymphoma derived cell line	treated with 40 ng/ml IL-13	activation	6 h	1 replicate, time resolved controls, part of time series	GSM578587	GSM578588
JAK-STAT	GSE23591h	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	0.5 h	1 replicate, time resolved controls, part of time series	GSM578595	GSM578596
JAK-STAT	GSE23591i	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	1 h	1 replicate, time resolved controls, part of time series	GSM578597	GSM578598
JAK-STAT	GSE23591j	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	1.5 h	1 replicate, time resolved controls, part of time series	GSM578599	GSM578600
JAK-STAT	GSE23591k	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	2 h	1 replicate, time resolved controls, part of time series	GSM578601	GSM578602
JAK-STAT	GSE23591l	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	3 h	1 replicate, time resolved controls, part of time series	GSM578603	GSM578604
JAK-STAT	GSE23591m	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	4 h	1 replicate, time resolved controls, part of time series	GSM578605	GSM578606
JAK-STAT	GSE23591n	MedB1 lymphoma derived cell line	treated with 20 ng/ml IL-13	activation	6 h	1 replicate, time resolved controls, part of time series	GSM578607	GSM578608
JAK-STAT	GSE24403a	dermal fibroblasts	treated with 50 nM IL-13	activation	2 h	3 replicates control, 1 replicate treatment, part of time series	GSM601439,GSM601440,GSM601441	GSM601442
JAK-STAT	GSE24403b	dermal fibroblasts	treated with 50 nM IL-13	activation	4 h	3 replicates control, 1 replicate treatment, part of time series	GSM601439,GSM601440,GSM601441	GSM601443
JAK-STAT	GSE24409a	dermal fibroblasts	treated with 50 nM IL-4	activation	2 h	3 replicates control, 1 replicate treatment, part of time series	GSM601484,GSM601485,GSM601486	GSM601487
JAK-STAT	GSE24409b	dermal fibroblasts	treated with 50 nM IL-4	activation	4 h	3 replicates control, 1 replicate treatment, part of time series	GSM601484,GSM601485,GSM601486	GSM601488
JAK-STAT	GSE26949	peripheral blood EPCs/CACs	treated with IFNa	activation	6 h	6 replicates each	GSM663476,GSM663477,GSM663478,GSM663479,GSM663480,GSM663481	GSM663482,GSM663483,GSM663484,GSM663485,GSM663486,GSM663487
JAK-STAT	GSE26951	bone marrow EPCs	treated with IFNa	activation	6 h	5 replicates each	GSM663500,GSM663501,GSM663502,GSM663503,GSM663504	GSM663505,GSM663506,GSM663507,GSM663508,GSM663509
JAK-STAT	GSE31193	primary hepatocytes	treated with 10 U/ml IFN-a	activation	6 h	3 replicates	GSM773317,GSM773318,GSM773319	GSM773323,GSM773324,GSM773325
JAK-STAT	GSE31264	primary hepatocytes	treated with 10 U/ml IFN-a	activation	6 h	1 replicate	GSM774851	GSM774852
JAK-STAT	GSE3183	A549 (Human bronchial cell line)	treated with IL-13	activation	4 h	3 replicates each	GSM47468,GSM47462,GSM47472	GSM47461,GSM47464,GSM47473
JAK-STAT	GSE33264a	Calu-3 cells	treated with 1000 U/ml IFNa	activation	3 h	3 replicates each, part of time series with 2 treatment conditions	GSM823062,GSM823063,GSM823064	GSM823038,GSM823039,GSM823040
JAK-STAT	GSE33264b	Calu-3 cells	treated with 1000 U/ml IFNa	activation	6 h	3 replicates each, part of time series with 2 treatment conditions	GSM823065,GSM823066,GSM823067	GSM823041,GSM823042,GSM823043
JAK-STAT	GSE33264c	Calu-3 cells	treated with 500 U/ml IFNg	activation	3 h	3 replicates each, part of time series with 2 treatment conditions	GSM823074,GSM823075,GSM823076	GSM823050,GSM823051,GSM823052
JAK-STAT	GSE33264d	Calu-3 cells	treated with 500 U/ml IFNg	activation	6 h	3 replicates each, part of time series with 2 treatment conditions	GSM823077,GSM823078,GSM823079	GSM823053,GSM823054,GSM823055
JAK-STAT	GSE3920a	HUVECs	treated with IFNa	activation	5 h	5 replicates	GSM89636,GSM89639,GSM89642,GSM89643,GSM89644	GSM89637,GSM89640,GSM89645,GSM89646,GSM89647
JAK-STAT	GSE3920b	HUVECs	treated with IFNb	activation	5 h	2 replicates	GSM89636,GSM89639	GSM89638,GSM89641
JAK-STAT	GSE3920c	HUVECs	treated with IFNg	activation	5 h	3 replicates	GSM89636,GSM89639,GSM89642	GSM89648,GSM89649,GSM89650
JAK-STAT	GSE3920d	fibroblasts	treated with IFNa	activation	5 h	3 replicates	GSM89654,GSM89655,GSM89656	GSM89651,GSM89652,GSM89653
JAK-STAT	GSE3920e	fibroblasts	treated with IFNg	activation	5 h	2 replicates	GSM89654,GSM89655	GSM89657,GSM89658
JAK-STAT	GSE440	Foreskin keratinocytes	treated with IFN-gamma (respective time control)	activation	1 h	2 Controls existent on the web page only 1 in the whole download script just taken that one	GSM6709	GSM7765
JAK-STAT	GSE4885a	HepG2 hepatocellular carcinoma cells	treated with IL-6	activation	1 h	2 replicates, part of time series	GSM109801,GSM109802	GSM109803,GSM109804
JAK-STAT	GSE4885b	HepG2 hepatocellular carcinoma cells	treated with IL-6	activation	4 h	2 replicates, part of time series	GSM109801,GSM109802	GSM109805,GSM109806
JAK-STAT	GSE5542a	A549 cell line	treated with 500U Infergen (Interferon type 1)	activation	6 h	4 replicates	GSM128888,GSM128893,GSM128902,GSM128911	GSM128884,GSM128890,GSM128899,GSM128908
JAK-STAT	GSE5542b	A549 cell line	treated with 500U IFN-g1b	activation	6 h	4 replicates	GSM128888,GSM128893,GSM128902,GSM128911	GSM128885,GSM128891,GSM128900,GSM128909
JAK-STAT	GSE8059	NK (Primary Natural Killer cells)	treated with IL-2	activation	2 h		GSM198942	GSM198943
JAK-STAT	GSE8515	human monocyte-derived macrophages	treated with IL-6	activation	4 h	5 replicates each	GSM211500,GSM211501,GSM211502,GSM211503,GSM211504	GSM211510,GSM211511,GSM211512,GSM211513,GSM211514
JAK-STAT	GSE8685a	Sez-4 cell line	treated with 200U IL-2	activation	4 h	3 replicates, different IL treatments, after 16h IL2 starvation	GSM215347,GSM215348,GSM215349	GSM215350,GSM215351,GSM215352
JAK-STAT	GSE8685b	Sez-4 cell line	treated with 20ng/ml IL-15	activation	4 h	3 replicates, different IL treatments, after 16h IL2 starvation	GSM215347,GSM215348,GSM215349	GSM215353,GSM215354,GSM215355
JAK-STAT	GSE8685c	Sez-4 cell line	treated with 100ng/ml IL-21	activation	4 h	3 replicates, different IL treatments, after 16h IL2 starvation	GSM215347,GSM215348,GSM215349	GSM215356,GSM215357,GSM215358
JAK-STAT	GSE8687	Sez-4	starved of IL-2 and activated with IL-2	activation	4 h after stimulation (16 h IL-2 pre-starvation)		GSM215362,GSM215363,GSM215361	GSM215365,GSM215366,GSM215364
JAK-STAT	GSE9481	side population of ovarian cancer	treated with 1000 U/ml IFNa	activation	5 h	2 replicates	GSM240637,GSM240638	GSM240639,GSM240640
MAPK	GSE10088a	SkMel-28 cells	treated with PD0325901, MEK inhibitor	inhibition	2 h	1 replicate each, mainly influencing MAPKs	GSM254963	GSM254964
MAPK	GSE10088b	SkMel-28 cells	treated with PD0325901, MEK inhibitor	inhibition	8 h	1 replicate each, mainly influencing MAPKs	GSM254963	GSM254965
MAPK	GSE12764	MCF10A cells	transfected with MEK1	activation	24 h	6 replicates each, mostly activates MAPKs	GSM320243,GSM320244,GSM320245,GSM320246,GSM320247,GSM320248	GSM320254,GSM320255,GSM320256,GSM320257,GSM320258,GSM320259
MAPK	GSE14934b	HEK-HT (kidney)	Ras (G12V,T35S) activation mutants	activation	not specified	mutants said to be mostly activating Raf	GSM373089,GSM373094,GSM373099,GSM373104,GSM373109	GSM373091,GSM373096,GSM373101,GSM373106,GSM373111
MAPK	GSE17939	HUVECs	transfected with constitutive active MEK5D	activation	40 h	3 replicates each, mainly activating MAPKs	GSM448023,GSM448025,GSM448043	GSM448029,GSM448041,GSM448047
MAPK	GSE3542b	MCF-7 (breast cancer cells)	co-transfected with constituitively active MEK	activation	not specified		GSM81189,GSM81190,GSM81191	GSM81198,GSM81199,GSM81200
MAPK	GSE3542c	MCF-7 (breast cancer cells)	co-transfected with constituitively active Raf	activation	not specified		GSM81189,GSM81190,GSM81191	GSM81204,GSM81205,GSM81206
MAPK	GSE6521a	MCF-7 breast cancer cells	Treatment with U0126 (MEK inhibitor)	inhibition	1.5 h	no stimulation	GSM149913	GSM149928
MAPK+PI3K	GSE10778a	human umbilical vein endothelial cells (HUVEC)	Treatment with EGF	activation	0.5 h	time series 30 min, 1 h, 2.5 h 6 h / same with VEGF	GSM272113	GSM272118
MAPK+PI3K	GSE10778b	human umbilical vein endothelial cells (HUVEC)	Treatment with EGF	activation	1 h	time series 30 min, 1 h, 2.5 h 6 h / same with VEGF	GSM272113	GSM272119
MAPK+PI3K	GSE10778c	human umbilical vein endothelial cells (HUVEC)	Treatment with EGF	activation	2.5 h	time series 30 min, 1 h, 2.5 h 6 h / same with VEGF	GSM272113	GSM272120
MAPK+PI3K	GSE11729a	H1299 human non-small cell lung cancer cells	Treatment with EGF	activation	0.5 h	time series: 30 min, 1, 2, 4, 6 and 10 h	GSM297647	GSM297648
MAPK+PI3K	GSE11729b	H1299 human non-small cell lung cancer cells	Treatment with EGF	activation	1 h	time series: 30 min, 1, 2, 4, 6 and 10 h	GSM297647	GSM297649
MAPK+PI3K	GSE11729c	H1299 human non-small cell lung cancer cells	Treatment with EGF	activation	2 h	time series: 30 min, 1, 2, 4, 6 and 10 h	GSM297647	GSM297650
MAPK+PI3K	GSE11729d	H1299 human non-small cell lung cancer cells	Treatment with EGF	activation	4 h	time series: 30 min, 1, 2, 4, 6 and 10 h	GSM297647	GSM297651
MAPK+PI3K	GSE11729e	H1299 human non-small cell lung cancer cells	Treatment with EGF	activation	6 h	time series: 30 min, 1, 2, 4, 6 and 10 h	GSM297647	GSM297652
MAPK+PI3K	GSE12764b	MCF10A cells	transfected with HRAS(G12V)	activation	24 h	3 replicates each, probably activating PI3K and MAPKs	GSM320243,GSM320244,GSM320245,GSM320246,GSM320247,GSM320248	GSM320249,GSM320250,GSM320251,GSM320252,GSM320253
MAPK+PI3K	GSE13009a	MCF7 human breast cancer cells	Treatment with EGF	activation	0.5 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325944,GSM325945
MAPK+PI3K	GSE13009b	MCF7 human breast cancer cells	Treatment with EGF	activation	1 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325948,GSM325949
MAPK+PI3K	GSE13009c	MCF7 human breast cancer cells	Treatment with EGF	activation	2 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325952,GSM325953
MAPK+PI3K	GSE13009d	MCF7 human breast cancer cells	Treatment with EGF	activation	4 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325956,GSM325957
MAPK+PI3K	GSE13009e	MCF7 human breast cancer cells	Treatment with HRG	activation	0.5 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325978,GSM325979
MAPK+PI3K	GSE13009f	MCF7 human breast cancer cells	Treatment with HRG	activation	1 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325982,GSM325983
MAPK+PI3K	GSE13009g	MCF7 human breast cancer cells	Treatment with HRG	activation	2 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325986,GSM325987
MAPK+PI3K	GSE13009h	MCF7 human breast cancer cells	Treatment with HRG	activation	4 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325990,GSM325991
MAPK+PI3K	GSE13009i	MCF7 human breast cancer cells	Treatment with EGF	activation	6 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325958,GSM325959
MAPK+PI3K	GSE13009j	MCF7 human breast cancer cells	Treatment with HRG	activation	6 h	time series: 10,15,20,30,45,60,90 min, 2, 3, 4, 6...72 h	GSM325937	GSM325992,GSM325993
MAPK+PI3K	GSE13168a	airway smooth muscle cells	treated with EGF	activation	8 h	1 replicate each, contain control vector, 4 donors	GSM332913	GSM332921
MAPK+PI3K	GSE13168b	airway smooth muscle cells	treated with EGF	activation	8 h	1 replicate each, contain control vector, 4 donors	GSM332914	GSM332922
MAPK+PI3K	GSE13168c	airway smooth muscle cells	treated with EGF	activation	8 h	1 replicate each, contain control vector, 4 donors	GSM332915	GSM332923
MAPK+PI3K	GSE13168d	airway smooth muscle cells	treated with EGF	activation	8 h	1 replicate each, contain control vector, 4 donors	GSM332916	GSM332924
MAPK+PI3K	GSE14256a	Human foreskin fibroblasts (AG01518)	Treatment with platelet-derived growth factor-BB (PDGF-BB)	activation	1 h		GSM356969,GSM356970	GSM356966,GSM356973
MAPK+PI3K	GSE14256b	Human foreskin fibroblasts (AG01518)	Treatment with bFGF (basic fibroblast growth factor)	activation	1 h		GSM356969,GSM356970	GSM356968,GSM356971
MAPK+PI3K	GSE14934a	HEK-HT (kidney)	Ras (G12V) activation mutants	activation	not specified		GSM373089,GSM373094,GSM373099,GSM373104,GSM373109	GSM373090,GSM373095,GSM373100,GSM373105,GSM373110
MAPK+PI3K	GSE20277	HeLa cells	treated with EGF	activation	0.66 h	3 replicates each	GSM508433,GSM508434,GSM508435	GSM507245,GSM507246,GSM507247
MAPK+PI3K	GSE33710	WI-38 cells	RASv12 overexpression	activation	not indicated	3 replicates each	GSM833183,GSM833184,GSM833185	GSM833186,GSM833187,GSM833188
MAPK+PI3K	GSE3542a	MCF-7 (breast cancer cells)	co-transfected with constituitively active erbB-2	activation	not specified		GSM81189,GSM81190,GSM81191	GSM81195,GSM81196,GSM81197
MAPK+PI3K	GSE3542d	MCF-7 (breast cancer cells)	co-transfected with ligand-inducible EGFR	activation	not specified		GSM81189,GSM81190,GSM81191	GSM81201,GSM81202,GSM81203
MAPK+PI3K	GSE6462a	MCF-7 (human breast cancer)	treatment with EGF (10nm)	activation	0.75 h		GSM148516	GSM148543
MAPK+PI3K	GSE6462b	MCF-7 (human breast cancer)	treatment with EGF (10nm)	activation	1.5 h		GSM148516	GSM148544
MAPK+PI3K	GSE6462c	MCF-7 (human breast cancer)	treatment with 10 nm HRG= heregulin Erb3/4 Ligand	activation	0.75 h		GSM148517	GSM148570
MAPK+PI3K	GSE6462d	MCF-7 (human breast cancer)	treatment with 10 nm HRG= heregulin Erb3/4 Ligand	activation	1.5 h		GSM148517	GSM148572
MAPK+PI3K	GSE6521d	MCF-7 breast cancer cells	Treatment with HRG (heregulin ErbB3 Ligand)	activation	0.75 h		GSM149913	GSM149919
MAPK+PI3K	GSE6521e	MCF-7 breast cancer cells	Treatment with HRG (heregulin ErbB3 Ligand)	activation	1.5 h		GSM149913	GSM149921
MAPK+PI3K	GSE6783a	HELA (Human cervical carcinoma cell line)	EGF treatment after 24 h serum starvation (Control 0 h)	activation	0.33 h		GSM156764	GSM156765
MAPK+PI3K	GSE6783b	HELA (Human cervical carcinoma cell line)	EGF treatment after 24 h serum starvation (Control 0 h)	activation	1 h		GSM156764	GSM156767
MAPK+PI3K	GSE6783c	HELA (Human cervical carcinoma cell line)	EGF treatment after 24 h serum starvation (Control 0 h)	activation	2 h		GSM156764	GSM156768
MAPK+PI3K	GSE6783d	HELA (Human cervical carcinoma cell line)	EGF treatment after 24 h serum starvation (Control 0 h)	activation	4 h		GSM156764	GSM156769
MAPK+PI3K	GSE6784a	MCF-10A (mammary epithelial cell line)	EGF treatment after 24 h serum starvation (Control 0 h)	activation	0.33 h		GSM156771	GSM156772
MAPK+PI3K	GSE6784b	MCF-10A (mammary epithelial cell line)	EGF treatment after 24 h serum starvation (Control 0 h)	activation	1 h		GSM156771	GSM156774
